MANDT,BUKRS,KUNNR,BELNR,XBLNR,DUNNING_RUN_DATE,DUNNING_KEY_DATE,DUNNING_PROCEDURE,DUNNING_LEVEL,DUNNING_LEVEL_DESC,AMOUNT,CURRENCY,DUNNING_NOTICE_SENT,DUNNING_SENT_DATE,DUNNING_SENT_METHOD,NEXT_DUNNING_DUE,SAP_TCODE,SAP_RUN_REF,NOTES
100,1000,0000004821,1900078421,INV-78421,2026-02-15,2026-01-25,ZAR01,1,First Reminder,950000.00,USD,Y,2026-02-16,Email + System Print,,UDM_SUPERVISOR,F150-2026-0031,Level 1 at 21 days overdue.
100,1000,0000004821,1900078421,INV-78421,2026-03-01,2026-01-25,ZAR01,2,Second Reminder,950000.00,USD,Y,2026-03-02,Email + Registered Letter,,UDM_SUPERVISOR,F150-2026-0044,Level 2 at 35 days overdue.
100,1000,0000004821,1900078421,INV-78421,2026-03-22,2026-01-25,ZAR01,3,Final Notice,950000.00,USD,Y,2026-03-23,Registered Post + Email,,UDM_SUPERVISOR,F150-2026-0058,Level 3 at 56 days overdue. Highest level before CFO-authorised Level 4.
100,1000,0000004821,1900078435,INV-78435,2026-01-20,2026-01-02,ZAR01,1,First Reminder,850000.00,USD,Y,2026-01-21,Email + System Print,,UDM_SUPERVISOR,F150-2026-0018,Level 1 at 18 days overdue.
100,1000,0000004821,1900078435,INV-78435,2026-02-10,2026-01-02,ZAR01,2,Second Reminder,850000.00,USD,Y,2026-02-11,Email + Registered Letter,,UDM_SUPERVISOR,F150-2026-0029,Level 2 at 39 days overdue.
100,1000,0000004821,1900078435,INV-78435,2026-03-05,2026-01-02,ZAR01,3,Final Notice,850000.00,USD,Y,2026-03-06,Registered Post + Email,,UDM_SUPERVISOR,F150-2026-0047,Level 3 at 62 days overdue. CFO decision pending for Level 4 (90d+ = INV-78435 at 95d now).
100,1000,0000007392,1900076890,INV-76890,2026-02-24,2026-02-04,ZAR01,1,First Reminder,1300000.00,USD,Y,2026-02-25,Email,,UDM_SUPERVISOR,F150-2026-0039,Level 1 at 20 days overdue. No response.
100,1000,0000007392,1900076890,INV-76890,2026-03-11,2026-02-04,ZAR01,2,Second Reminder,1300000.00,USD,Y,2026-03-12,Email + Phone,,UDM_SUPERVISOR,F150-2026-0052,Level 2 at 35 days overdue. Phone unanswered. Email opened but no reply.
100,1000,0000007392,1900076890,INV-76890,2026-03-28,2026-02-04,ZAR01,3,Final Notice,1300000.00,USD,Y,2026-03-29,Registered Post + Email,,UDM_SUPERVISOR,F150-2026-0065,Level 3 at 52 days overdue. Credit hold decision required.
100,1000,0000009104,1900079080,INV-79080,2026-03-13,2026-02-21,ZAR01,1,First Reminder,300000.00,USD,Y,2026-03-14,Email,,UDM_SUPERVISOR,F150-2026-0055,Level 1. Customer responded confirming undisputed. Dunning paused by agreement.
100,1000,0000009104,1900079145,INV-79145,2026-03-13,2026-02-21,ZAR01,1,First Reminder,320000.00,USD,Y,2026-03-14,Email,,UDM_SUPERVISOR,F150-2026-0056,Level 1. Customer confirmed undisputed.
100,1000,0000009104,1900079210,INV-79210,2026-03-13,2026-02-21,ZAR01,1,First Reminder (Disputed),280000.00,USD,Y,2026-03-14,Email,,UDM_SUPERVISOR,F150-2026-0057,Level 1. Customer raised dispute claim. Dunning paused pending DSP-2024-0041 resolution per SAP FSCM DM status rules.
100,1000,0000002156,1900079302,INV-79302,2026-03-20,2026-02-28,ZAR01,1,First Reminder,800000.00,USD,Y,2026-03-21,Email,,UDM_SUPERVISOR,F150-2026-0060,Level 1. Customer responded with payment commitment for 11 Apr. Dunning suspended.
100,1000,0000005033,1900079415,INV-79415,2026-03-25,2026-03-03,ZAR02,1,Soft First Reminder,300000.00,USD,Y,2026-03-26,Email,,UDM_SUPERVISOR,F150-2026-0062,ZAR02 (new customer procedure). Soft tone. Acknowledgement received.
