File 31: data/inventory_sample.csv

material_id,location_id,material_description,quantity_on_hand,inventory_value_local,currency_code,last_movement_date,evaluation_date
MAT001,LOC01,Finished Goods A,1000,8000000,INR,2026-03-15,2026-03-31
MAT002,LOC01,Raw Material X,500,6000000,INR,2026-02-20,2026-03-31
MAT003,LOC02,Component B,750,7000000,INR,2026-01-10,2026-03-31
MAT004,LOC02,Finished Goods C,300,4000000,INR,2025-12-01,2026-03-31
MAT005,LOC03,Raw Material Y,900,5000000,INR,2025-11-15,2026-03-31
MAT006,LOC01,Component D,200,2000000,INR,2025-10-05,2026-03-31
MAT007,LOC03,Finished Goods E,150,3000000,INR,2026-03-10,2026-03-31
MAT008,LOC02,Raw Material Z,400,3500000,INR,2025-09-20,2026-03-31
MAT009,LOC01,Component F,600,4500000,INR,2026-02-01,2026-03-31
MAT010,LOC03,Finished Goods G,250,2500000,INR,2025-08-30,2026-03-31
