MANDT,BUKRS,KUNNR,BELNR,BUZEI,GJAHR,BLART,BSCHL,BUDAT,BLDAT,ZFBDT,ZTERM,ZBD3T,XBLNR,WAERS,WRBTR,DMBTR,SGTXT,DISPUTE_REF,AUGDT,AUGBL,DUE_DATE_CALC,OVERDUE_DAYS_CALC,AGING_BUCKET,COLLECTION_PRIORITY_AGENT
100,1000,0000004821,1900078421,001,2025,RV,01,2025-12-26,2025-12-26,2025-12-26,Z030,30,INV-78421,USD,950000.00,950000.00,Delta Retail - Q4 Merchandise Replenishment,,,,2026-01-25,72,61-90,CRITICAL
100,1000,0000004821,1900078435,001,2025,RV,01,2025-12-03,2025-12-03,2025-12-03,Z030,30,INV-78435,USD,850000.00,850000.00,Delta Retail - Q4 Bulk Order,,,,2026-01-02,95,90+,CRITICAL
100,1000,0000007392,1900076890,001,2025,RV,01,2026-01-05,2026-01-05,2026-01-05,Z030,30,INV-76890,USD,1300000.00,1300000.00,Orbis Tech - Jan Software Licences & Services,,,,2026-02-04,62,61-90,CRITICAL
100,1000,0000009104,1900079080,001,2026,RV,01,2026-01-22,2026-01-22,2026-01-22,Z030,30,INV-79080,USD,300000.00,300000.00,Pinnacle Foods - Feb Packaging Materials,,,,2026-02-21,45,31-60,HIGH
100,1000,0000009104,1900079145,001,2026,RV,01,2026-01-22,2026-01-22,2026-01-22,Z030,30,INV-79145,USD,320000.00,320000.00,Pinnacle Foods - Feb Packaging Materials,,,,2026-02-21,45,31-60,HIGH
100,1000,0000009104,1900079210,001,2026,RV,01,2026-01-22,2026-01-22,2026-01-22,Z030,30,INV-79210,USD,280000.00,280000.00,Pinnacle Foods - Feb Bulk Delivery,DSP-2024-0041,,,2026-02-21,45,31-60,HIGH
100,1000,0000002156,1900079302,001,2026,RV,01,2026-01-29,2026-01-29,2026-01-29,Z030,30,INV-79302,USD,800000.00,800000.00,Nexwave Retail - Feb Catalogue Stock,,,,2026-02-28,38,31-60,HIGH
100,1000,0000005033,1900079415,001,2026,RV,01,2026-02-01,2026-02-01,2026-02-01,Z030,30,INV-79415,USD,300000.00,300000.00,Brightline Corp - Feb Industrial Components,,,,2026-03-03,35,31-60,MEDIUM
100,1000,0000008811,1900079520,001,2026,RV,01,2026-03-05,2026-03-05,2026-03-05,Z030,30,INV-79520,USD,1200000.00,1200000.00,Vertex Holdings - Mar Raw Materials,,,,2026-04-04,3,0-30,NORMAL
100,1000,0000003044,1900079611,001,2026,RV,01,2026-03-08,2026-03-08,2026-03-08,Z030,30,INV-79611,USD,850000.00,850000.00,Skytrack Logistics - Mar Freight Services,,,,2026-04-07,0,0-30,NORMAL
100,1000,0000006129,1900079702,001,2026,RV,01,2026-03-10,2026-03-10,2026-03-10,Z030,30,INV-79702,USD,740000.00,740000.00,Harbor Goods Inc - Mar Seasonal Stock,,,,2026-04-09,-2,0-30,NORMAL
100,1000,0000001875,1900079814,001,2026,RV,01,2026-03-14,2026-03-14,2026-03-14,Z030,30,INV-79814,USD,620000.00,620000.00,Meridian Supplies - Mar Components,,,,2026-04-13,-6,0-30,NORMAL
100,1000,0000004512,1900079905,001,2026,RV,01,2026-03-18,2026-03-18,2026-03-18,Z030,30,INV-79905,USD,580000.00,580000.00,SkyNet Distribution - Mar Electronics,,,,2026-04-17,-10,0-30,NORMAL
100,1000,0000007201,1900080011,001,2026,RV,01,2026-03-22,2026-03-22,2026-03-22,Z060,60,INV-80011,USD,1100000.00,1100000.00,Frosted Foods Co - Mar Cold Chain Delivery,,,,2026-05-21,-44,0-30,NORMAL
100,1000,0000008390,1900080102,001,2026,RV,01,2026-03-25,2026-03-25,2026-03-25,Z030,30,INV-80102,USD,2410000.00,2410000.00,Axis Packaging - Mar Industrial Reels,,,,2026-04-24,-17,0-30,NORMAL
