vendor_id,document_id,document_date,baseline_date,due_date,evaluation_date,amount_local,currency_code,payment_terms_code,clearing_date
VEND001,BILL2001,2026-01-05,2026-01-05,2026-02-04,2026-03-31,4000000,INR,PT30,
VEND002,BILL2002,2026-01-12,2026-01-12,2026-02-11,2026-03-31,6000000,INR,PT30,
VEND003,BILL2003,2025-12-10,2025-12-10,2026-01-09,2026-03-31,5000000,INR,PT30,
VEND001,BILL2004,2025-11-25,2025-11-25,2025-12-25,2026-03-31,7000000,INR,PT30,
VEND004,BILL2005,2026-02-15,2026-02-15,2026-03-17,2026-03-31,3000000,INR,PT30,
VEND005,BILL2006,2025-10-05,2025-10-05,2025-11-04,2026-03-31,8000000,INR,PT30,
VEND002,BILL2007,2026-01-28,2026-01-28,2026-02-27,2026-03-31,2000000,INR,PT30,
VEND006,BILL2008,2025-09-18,2025-09-18,2025-10-18,2026-03-31,5000000,INR,PT30,
VEND007,BILL2009,2026-03-02,2026-03-02,2026-04-01,2026-03-31,1500000,INR,PT30,
VEND003,BILL2010,2025-12-22,2025-12-22,2026-01-21,2026-03-31,-500000,INR,PT30,
