customer_id,document_id,document_date,baseline_date,due_date,evaluation_date,amount_local,currency_code,payment_terms_code,clearing_date,dispute_flag,dispute_reason
CUST001,INV1001,2026-01-05,2026-01-05,2026-02-04,2026-03-31,5000000,INR,PT30,,false,
CUST002,INV1002,2026-01-10,2026-01-10,2026-02-09,2026-03-31,8000000,INR,PT30,,true,pricing dispute
CUST003,INV1003,2025-12-15,2025-12-15,2026-01-14,2026-03-31,12000000,INR,PT30,,false,
CUST001,INV1004,2025-11-20,2025-11-20,2025-12-20,2026-03-31,7000000,INR,PT30,,false,
CUST004,INV1005,2026-02-01,2026-02-01,2026-03-03,2026-03-31,4000000,INR,PT30,,false,
CUST005,INV1006,2025-10-10,2025-10-10,2025-11-09,2026-03-31,9000000,INR,PT30,,false,
CUST002,INV1007,2026-01-25,2026-01-25,2026-02-24,2026-03-31,3000000,INR,PT30,,false,
CUST006,INV1008,2025-09-15,2025-09-15,2025-10-15,2026-03-31,6000000,INR,PT30,,false,
CUST007,INV1009,2026-03-01,2026-03-01,2026-03-31,2026-03-31,2000000,INR,PT30,,false,
CUST003,INV1010,2025-12-20,2025-12-20,2026-01-19,2026-03-31,-1000000,INR,PT30,,false,
