MANDT,BUKRS,KUNNR,NAME1,NAME2,ORT01,REGIO,LAND1,STRAS,PSTLZ,TELF1,SMTP_ADDR,BRSCH,KTOKD,ZTERM,CTLPC,KLIMK,RISKC,CRBLB,ANNUAL_REVENUE_USD_EXT,RELATIONSHIP_MANAGER,COLLECTIONS_OWNER,COLLECTIONS_OWNER_EMAIL,LEGAL_NOTICE_DAYS,PARENT_ENTITY,ACCOUNT_STATUS,CREDIT_HOLD_ACTIVE,CREDIT_HOLD_REF,NOTES
100,1000,0000004821,Delta Retail Group,Consumer Division,Chicago,IL,US,400 N Michigan Ave,60611,+1-312-555-0182,ap@deltaretailgroup.com,5200,Z001,Z030,1000,3000000.00,B,N,12000000,@SarahAndrews,@RaviKumar,ravi.kumar@company.com,30,Delta Retail Holdings Inc,ACTIVE,N,,Consistent 60-90d late payer. Parent entity liquid. Deprioritizing our AP.
100,1000,0000007392,Orbis Tech Solutions,,San Francisco,CA,US,220 Market Street,94105,+1-415-555-0246,finance@orbistech.com,7372,Z001,Z030,1000,2100000.00,A,N,7800000,@SarahAndrews,@RaviKumar,ravi.kumar@company.com,30,Orbis Tech Inc (Parent),ACTIVE,N,,2nd consecutive breach. No response to 3 outreach attempts. Phone unanswered. Deteriorating pay pattern since Q2 2024.
100,1000,0000009104,Pinnacle Foods Ltd,,Dallas,TX,US,1800 Commerce St,75201,+1-214-555-0319,ap@pinnaclefoods.com,2000,Z001,Z030,1000,1500000.00,B,N,9200000,@MichaelBrooks,@RaviKumar,ravi.kumar@company.com,30,Pinnacle Foods Holdings,ACTIVE,N,,Occasional dispute pattern (3 disputed lines in 24 months). AP contact Linda Wu.
100,1000,0000002156,Nexwave Retail Corp,,Seattle,WA,US,500 Pike Street,98101,+1-206-555-0411,payments@nexwaveretail.com,5300,Z001,Z030,1000,2000000.00,A,N,11000000,@JennyLee,@RaviKumar,ravi.kumar@company.com,30,,ACTIVE,N,,Reliable payer. 92% on-time rate over 24 months. Payment commitment received for current invoice.
100,1000,0000005033,Brightline Corp,,Boston,MA,US,75 State Street,02109,+1-617-555-0507,ap@brightline.com,3490,Z001,Z030,1000,800000.00,C,N,4500000,@JennyLee,@RaviKumar,ravi.kumar@company.com,30,,ACTIVE,N,,New customer (first invoice Apr 2025). First overdue cycle. Strong credit score.
100,1000,0000008811,Vertex Holdings LLC,,New York,NY,US,1 Liberty Plaza,10006,+1-212-555-0688,treasury@vertexhold.com,5190,Z001,Z030,1000,5000000.00,A,N,18000000,@SarahAndrews,@RaviKumar,ravi.kumar@company.com,30,,ACTIVE,N,,Reliable payer. 3d payment lead time. Within terms.
100,1000,0000003044,Skytrack Logistics,,Atlanta,GA,US,3400 Airport Way,30354,+1-404-555-0734,invoices@skytracklog.com,4731,Z001,Z030,1000,1200000.00,A,N,6500000,@JennyLee,@RaviKumar,ravi.kumar@company.com,30,,ACTIVE,N,,Due today. Payment expected EoD.
100,1000,0000006129,Harbor Goods Inc,,Miami,FL,US,200 Biscayne Blvd,33132,+1-305-555-0812,ap@harborgoods.com,5912,Z001,Z030,1000,1800000.00,B,N,8800000,@SarahAndrews,@RaviKumar,ravi.kumar@company.com,30,,ACTIVE,N,,Due in 2 days. Clean payer history.
100,1000,0000001875,Meridian Supplies Co,,Denver,CO,US,1600 Glenarm Place,80202,+1-303-555-0915,payments@meridiansupplies.com,5065,Z001,Z030,1000,1000000.00,B,N,5200000,@MichaelBrooks,@RaviKumar,ravi.kumar@company.com,30,,ACTIVE,N,,Due in 6 days. 92% on-time pay rate.
100,1000,0000004512,SkyNet Distribution,,Phoenix,AZ,US,220 Jefferson Ave,85003,+1-602-555-1022,finance@skynetdist.com,5065,Z001,Z030,1000,1500000.00,A,N,7000000,@JennyLee,@RaviKumar,ravi.kumar@company.com,30,,ACTIVE,N,,Due in 10 days. Confirmed payment.
100,1000,0000007201,Frosted Foods Co,,Minneapolis,MN,US,400 Nicollet Mall,55401,+1-612-555-1188,ap@frostedfoods.com,2000,Z001,Z060,1000,2400000.00,B,N,14000000,@SarahAndrews,@RaviKumar,ravi.kumar@company.com,30,,ACTIVE,N,,60-day terms. Still within terms.
100,1000,0000008390,Axis Packaging Ltd,,Detroit,MI,US,1001 Woodward Ave,48226,+1-313-555-1277,invoices@axispackg.com,2650,Z001,Z030,1000,3500000.00,B,N,16000000,@MichaelBrooks,@RaviKumar,ravi.kumar@company.com,30,,ACTIVE,N,,Due in 17 days. Under review for AP deferral.
